timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
711,FixedSpread,BuyPressure,102.132623,102.072737,nan,0.008545,-125,12673.830543,-92.747290,2148,0
712,FixedSpread,BuyPressure,102.121294,102.049328,nan,0.008712,-115,11653.103170,-90.845653,2136,0
713,FixedSpread,BuyPressure,102.118263,102.049328,nan,0.008371,-115,11653.103170,-90.497080,2148,0
714,FixedSpread,BuyPressure,102.120556,102.049328,nan,0.008006,-115,11653.103170,-90.760751,2149,0
715,FixedSpread,BuyPressure,102.122809,102.049328,nan,0.007661,-115,11653.103170,-91.019837,2151,0
716,FixedSpread,BuyPressure,102.135626,102.049328,nan,0.007970,-115,11653.103170,-92.493863,2151,0
717,FixedSpread,BuyPressure,102.143680,102.049328,nan,0.007975,-115,11653.103170,-93.420007,2151,0
718,FixedSpread,BuyPressure,102.146036,102.049328,nan,0.007638,-115,11653.103170,-93.691014,2158,0
719,FixedSpread,BuyPressure,102.144791,102.078804,nan,0.007255,-115,11653.103170,-93.547804,2170,0
720,FixedSpread,BuyPressure,102.149347,102.099347,102.199347,0.007093,-115,11653.103170,-94.071788,2196,10
721,FixedSpread,BuyPressure,102.145367,102.099347,102.199347,0.006906,-115,11653.103170,-93.614018,2196,20
722,FixedSpread,BuyPressure,102.153380,102.099347,102.199347,0.006973,-122,12368.498602,-94.213736,2196,13
723,FixedSpread,BuyPressure,102.149577,102.099347,102.199347,0.006782,-122,12368.498602,-93.749808,2198,13
724,FixedSpread,BuyPressure,102.158995,102.099347,nan,0.006940,-125,12675.096645,-94.777786,2198,0
725,FixedSpread,BuyPressure,102.173128,102.099347,nan,0.007372,-125,12675.096645,-96.544390,2198,0
726,FixedSpread,BuyPressure,102.171952,102.099347,102.244682,0.007000,-125,12675.096645,-96.397355,2198,9
727,FixedSpread,BuyPressure,102.167903,102.139119,102.244682,0.006823,-125,12675.096645,-95.891174,2204,9
728,FixedSpread,BuyPressure,102.184731,102.139119,102.244682,0.007424,-125,12675.096645,-97.994776,2204,4
729,FixedSpread,BuyPressure,102.180170,102.139119,102.244682,0.007252,-125,12675.096645,-97.424612,2209,4
730,FixedSpread,BuyPressure,102.189307,102.139307,102.239307,0.007365,-125,12675.096645,-98.566687,2219,10
731,FixedSpread,BuyPressure,102.191093,102.139307,102.239307,0.007030,-125,12675.096645,-98.790017,2239,10
732,FixedSpread,BuyPressure,102.201857,102.139307,nan,0.007254,-135,13697.489711,-99.760949,2239,0
733,FixedSpread,BuyPressure,102.186152,102.139307,nan,0.007761,-132,13391.071791,-97.500334,2236,0
734,FixedSpread,BuyPressure,102.197107,102.139307,nan,0.007953,-132,13391.071791,-98.946347,2236,0
735,FixedSpread,BuyPressure,102.182280,102.139307,nan,0.008365,-128,12982.514565,-96.817228,2232,0
736,FixedSpread,BuyPressure,102.183289,102.139307,nan,0.007924,-128,12982.514565,-96.946365,2252,0
737,FixedSpread,BuyPressure,102.191005,102.139307,nan,0.007912,-128,12982.514565,-97.934134,2252,0
738,FixedSpread,BuyPressure,102.189956,102.142085,nan,0.007500,-128,12982.514565,-97.799772,2264,0
739,FixedSpread,BuyPressure,102.198543,102.142085,nan,0.007565,-128,12982.514565,-98.898891,2264,0
740,FixedSpread,BuyPressure,102.196814,102.159376,102.246814,0.007215,-128,12982.514565,-98.677669,2284,10
741,FixedSpread,BuyPressure,102.199477,102.159376,102.246814,0.006942,-128,12982.514565,-99.018554,2300,10
