timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1428,FixedSpread,SellPressure,96.364437,nan,96.401916,0.008627,185,-18032.505731,-205.084821,0,3477
1429,FixedSpread,SellPressure,96.368477,nan,96.401916,0.008352,185,-18032.505731,-204.337470,0,3489
1430,FixedSpread,SellPressure,96.376203,96.326203,96.426203,0.008314,183,-17839.563548,-202.718449,10,3484
1431,FixedSpread,SellPressure,96.379061,96.326203,96.426203,0.007987,183,-17839.563548,-202.195417,10,3485
1432,FixedSpread,SellPressure,96.369161,nan,96.426203,0.008102,193,-18802.825575,-203.577433,0,3485
1433,FixedSpread,SellPressure,96.361065,nan,96.426203,0.008101,193,-18802.825575,-205.139951,0,3485
1434,FixedSpread,SellPressure,96.353377,nan,96.426203,0.008077,193,-18802.825575,-206.623745,0,3485
1435,FixedSpread,SellPressure,96.344760,nan,96.426203,0.008109,193,-18802.825575,-208.286967,0,3485
1436,FixedSpread,SellPressure,96.331013,nan,96.426203,0.008447,193,-18802.825575,-210.940059,0,3485
1437,FixedSpread,SellPressure,96.316577,nan,96.426203,0.008807,193,-18802.825575,-213.726272,0,3485
1438,FixedSpread,SellPressure,96.314726,96.269884,96.426203,0.008389,193,-18802.825575,-214.083483,12,3485
1439,FixedSpread,SellPressure,96.317654,96.269884,96.426203,0.008062,193,-18802.825575,-213.518430,12,3488
1440,FixedSpread,SellPressure,96.330181,96.280181,96.380181,0.008330,183,-17838.563548,-210.140453,22,3485
1441,FixedSpread,SellPressure,96.319531,96.280181,96.380181,0.008469,191,-18608.804994,-211.774564,14,3485
1442,FixedSpread,SellPressure,96.319400,96.280181,96.380181,0.007969,191,-18608.804994,-211.799620,14,3492
1443,FixedSpread,SellPressure,96.304354,96.269884,96.380181,0.008393,193,-18801.365356,-214.624970,7,3492
1444,FixedSpread,SellPressure,96.297087,96.269884,96.380181,0.008326,193,-18801.365356,-216.027558,3,3492
1445,FixedSpread,SellPressure,96.307236,96.269884,96.380181,0.008435,185,-18030.323909,-213.485260,3,3484
1446,FixedSpread,SellPressure,96.317529,96.269884,96.510712,0.008546,172,-16776.262677,-209.647696,3,3464
1447,FixedSpread,SellPressure,96.333089,96.269884,96.529436,0.008967,165,-16100.687694,-205.727987,3,3446
1448,FixedSpread,SellPressure,96.345499,96.269884,96.529436,0.009174,165,-16100.687694,-203.680413,3,3436
1449,FixedSpread,SellPressure,96.337229,nan,96.529436,0.009120,165,-16100.687694,-205.044950,0,3436
1450,FixedSpread,SellPressure,96.323639,96.273639,96.373639,0.009388,165,-16100.687694,-207.287203,10,3446
1451,FixedSpread,SellPressure,96.327184,96.273639,96.373639,0.009037,165,-16100.687694,-206.702299,26,3446
1452,FixedSpread,SellPressure,96.318195,96.273639,96.373639,0.009034,168,-16389.508612,-208.051870,23,3446
1453,FixedSpread,SellPressure,96.319690,96.273639,96.329125,0.008582,168,-16389.508612,-207.800736,23,3462
1454,FixedSpread,SellPressure,96.324649,96.273639,96.329125,0.008365,168,-16389.508612,-206.967586,23,3466
1455,FixedSpread,SellPressure,96.331759,96.273639,96.329125,0.008289,168,-16389.508612,-205.773161,23,3461
1456,FixedSpread,SellPressure,96.335084,96.273639,96.329125,0.007991,168,-16389.508612,-205.214503,33,3461
1457,FixedSpread,SellPressure,96.348280,96.273639,96.329125,0.008304,168,-16389.508612,-202.997569,33,3453
1458,FixedSpread,SellPressure,96.352077,96.273639,96.329125,0.008033,168,-16389.508612,-202.359708,33,3467
1459,FixedSpread,SellPressure,96.359249,96.273639,96.462332,0.007982,158,-15425.772219,-201.010905,33,3448
1460,FixedSpread,SellPressure,96.356516,96.306516,96.406516,0.007667,158,-15425.772219,-201.442736,48,3458
1461,FixedSpread,SellPressure,96.340161,96.306516,96.406516,0.008188,164,-16003.611313,-203.824938,42,3458
1462,FixedSpread,SellPressure,96.341507,96.306516,96.406516,0.007778,164,-16003.611313,-203.604157,58,3458
1463,FixedSpread,SellPressure,96.343164,96.306516,96.406516,0.007410,164,-16003.611313,-203.332471,58,3459
1464,FixedSpread,SellPressure,96.328924,96.306516,96.406516,0.007820,165,-16099.917829,-205.645313,57,3459
1465,FixedSpread,SellPressure,96.316716,96.273639,96.406516,0.008083,171,-16677.658294,-207.499926,51,3459
1466,FixedSpread,SellPressure,96.303000,96.241349,96.406516,0.008421,175,-17062.752851,-209.727909,31,3459
1467,FixedSpread,SellPressure,96.287952,96.241349,96.406516,0.008819,175,-17062.752851,-212.361324,29,3459
1468,FixedSpread,SellPressure,96.280271,96.224374,96.406516,0.008751,175,-17062.752851,-213.705450,10,3459
1469,FixedSpread,SellPressure,96.278756,96.224374,96.406516,0.008316,175,-17062.752851,-213.970495,13,3459
1470,FixedSpread,SellPressure,96.276372,96.226372,96.317193,0.007960,175,-17062.752851,-214.387688,23,3486
1471,FixedSpread,SellPressure,96.261959,96.226372,96.317193,0.008348,180,-17543.884713,-216.732022,18,3486
1472,FixedSpread,SellPressure,96.259224,96.226372,96.317193,0.008011,180,-17543.884713,-217.224324,23,3486
1473,FixedSpread,SellPressure,96.266796,96.226372,96.317193,0.007985,180,-17543.884713,-215.861379,23,3484
1474,FixedSpread,SellPressure,96.278588,96.226372,96.317193,0.008213,180,-17543.884713,-213.738923,23,3473
1475,FixedSpread,SellPressure,96.277185,96.226372,96.299786,0.007804,180,-17543.884713,-213.991341,23,3480
1476,FixedSpread,SellPressure,96.262096,96.224374,96.299786,0.008241,185,-18025.016575,-216.528838,10,3480
1477,FixedSpread,SellPressure,96.265410,96.224374,96.295088,0.007946,185,-18025.016575,-215.915660,10,3483
1478,FixedSpread,SellPressure,96.267566,96.224374,96.295088,0.007598,185,-18025.016575,-215.516852,21,3483
1479,FixedSpread,SellPressure,96.276545,96.224374,96.317193,0.007681,185,-18025.016575,-213.855795,21,3471
1480,FixedSpread,SellPressure,96.277459,96.227459,96.317193,0.007275,185,-18025.016575,-213.686658,31,3492
1481,FixedSpread,SellPressure,96.284597,96.227459,96.326732,0.007267,175,-17061.752851,-211.948389,31,3476
1482,FixedSpread,SellPressure,96.285985,96.227459,96.326732,0.006914,175,-17061.752851,-211.705417,34,3476
1483,FixedSpread,SellPressure,96.297765,96.227459,96.327459,0.007206,169,-16483.788097,-209.465795,34,3463
1484,FixedSpread,SellPressure,96.297425,96.227459,96.327459,0.006794,169,-16483.788097,-209.523315,34,3482
1485,FixedSpread,SellPressure,96.281744,96.227459,96.327459,0.007327,175,-17061.152851,-211.847735,28,3482
1486,FixedSpread,SellPressure,96.285905,96.227459,96.327459,0.007138,175,-17061.152851,-211.119446,28,3502
1487,FixedSpread,SellPressure,96.285395,96.227459,96.327459,0.006740,175,-17061.152851,-211.208715,28,3514
1488,FixedSpread,SellPressure,96.274880,96.090353,96.327459,0.006966,179,-17446.062687,-212.859241,8,3514
1489,FixedSpread,SellPressure,96.264804,nan,96.327459,0.007153,179,-17446.062687,-214.662857,0,3514
