timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
4319,FixedSpread,Balanced,100.762186,100.625881,100.839548,0.008517,80,-7648.165684,412.809197,1689,744
4320,FixedSpread,Balanced,100.769858,100.719858,100.819858,0.008466,73,-6942.148256,414.051400,1699,745
4321,FixedSpread,Balanced,100.773483,100.719858,100.819858,0.008176,73,-6942.148256,414.315980,1701,745
4322,FixedSpread,Balanced,100.783540,100.719858,100.819858,0.008289,64,-6034.769531,415.377046,1701,736
4323,FixedSpread,Balanced,100.792892,100.719858,100.874516,0.008352,60,-5631.370775,416.202764,1701,731
4324,FixedSpread,Balanced,100.800789,100.719858,100.877191,0.008325,50,-4622.625616,417.413839,1701,711
4325,FixedSpread,Balanced,100.803518,100.719858,100.877191,0.007989,50,-4622.625616,417.550280,1716,711
4326,FixedSpread,Balanced,100.812008,100.719858,100.877819,0.008019,41,-3714.725242,418.567100,1716,695
4327,FixedSpread,Balanced,100.828515,100.719858,100.878426,0.008529,40,-3613.847422,419.293169,1716,693
4328,FixedSpread,Balanced,100.813581,100.693426,100.878426,0.008913,50,-4621.046005,419.633064,1702,693
4329,FixedSpread,Balanced,100.830324,100.693426,100.878426,0.009383,50,-4621.046005,420.470200,1702,680
4330,FixedSpread,Balanced,100.829043,100.779043,100.878426,0.008897,50,-4621.046005,420.406149,1729,690
4331,FixedSpread,Balanced,100.818729,100.734693,100.878426,0.008982,60,-5628.836436,420.287314,1719,690
4332,FixedSpread,Balanced,100.808091,100.693426,100.878426,0.009081,60,-5628.836436,419.648996,1700,690
4333,FixedSpread,Balanced,100.819287,100.693426,100.879043,0.009208,55,-5124.441221,420.619591,1700,684
4334,FixedSpread,Balanced,100.821679,100.693426,100.879043,0.008799,55,-5124.441221,420.751097,1700,694
4335,FixedSpread,Balanced,100.833359,100.693426,100.881817,0.008972,40,-3611.239234,422.095121,1700,677
4336,FixedSpread,Balanced,100.820309,100.625881,100.881817,0.009217,40,-3611.239234,421.573111,1688,677
4337,FixedSpread,Balanced,100.817680,100.625881,100.860759,0.008821,40,-3611.239234,421.467978,1688,689
4338,FixedSpread,Balanced,100.820052,100.625881,100.860759,0.008434,40,-3611.239234,421.562827,1688,702
4339,FixedSpread,Balanced,100.821840,100.790245,100.860759,0.008036,40,-3611.239234,421.634373,1700,702
4340,FixedSpread,Balanced,100.820925,100.790245,100.860759,0.007608,40,-3611.239234,421.597764,1710,715
4341,FixedSpread,Balanced,100.821365,100.790245,100.860759,0.007178,40,-3611.239234,421.615369,1717,715
4342,FixedSpread,Balanced,100.825673,100.790245,100.860759,0.007006,40,-3611.239234,421.787692,1733,715
4343,FixedSpread,Balanced,100.840459,100.790245,100.865662,0.007473,40,-3611.239234,422.379125,1733,701
4344,FixedSpread,Balanced,100.836052,100.790245,100.865662,0.007289,40,-3611.239234,422.202834,1734,701
4345,FixedSpread,Balanced,100.849329,100.790245,100.865662,0.007648,40,-3611.239234,422.733937,1734,695
4346,FixedSpread,Balanced,100.835693,100.770925,100.865662,0.008007,40,-3611.239234,422.188473,1721,695
4347,FixedSpread,Balanced,100.822283,100.770925,100.865662,0.008332,45,-4115.093858,421.908872,1716,695
4348,FixedSpread,Balanced,100.838700,100.770925,100.870925,0.008817,37,-3308.126459,422.905435,1716,682
4349,FixedSpread,Balanced,100.846289,100.770925,100.882339,0.008743,27,-2299.325895,423.523906,1716,668
4350,FixedSpread,Balanced,100.838751,100.788751,100.882339,0.008671,32,-2803.180520,423.659509,1716,678
4351,FixedSpread,Balanced,100.823943,100.746083,100.882339,0.009039,42,-3811.068029,423.537573,1704,678
4352,FixedSpread,Balanced,100.821123,100.746083,100.845038,0.008666,42,-3811.068029,423.419140,1704,683
4353,FixedSpread,Balanced,100.821116,100.746083,100.845038,0.008146,42,-3811.068029,423.418839,1704,687
4354,FixedSpread,Balanced,100.804951,100.625881,100.845038,0.008627,42,-3811.068029,422.739899,1688,687
4355,FixedSpread,Balanced,100.815482,100.625881,100.845038,0.008742,42,-3811.068029,423.182231,1688,686
4356,FixedSpread,Balanced,100.812118,100.681200,100.845038,0.008419,42,-3811.068029,423.040929,1696,686
4357,FixedSpread,Balanced,100.795624,100.621626,100.845038,0.008904,42,-3811.068029,422.348200,1677,686
4358,FixedSpread,Balanced,100.799194,100.621626,100.821274,0.008584,42,-3811.068029,422.498135,1677,697
4359,FixedSpread,Balanced,100.814859,100.621626,100.821274,0.009008,42,-3811.068029,423.156044,1677,693
4360,FixedSpread,Balanced,100.811968,100.772410,100.821274,0.008641,42,-3811.068029,423.034629,1692,703
4361,FixedSpread,Balanced,100.809440,100.772410,100.821274,0.008275,42,-3811.068029,422.928431,1692,716
4362,FixedSpread,Balanced,100.807809,100.772410,100.821274,0.007876,42,-3811.068029,422.859941,1692,736
4363,FixedSpread,Balanced,100.803812,100.772410,100.821274,0.007643,42,-3811.068029,422.692073,1712,736
4364,FixedSpread,Balanced,100.819241,100.772410,100.821274,0.008110,42,-3811.068029,423.340093,1712,735
4365,FixedSpread,Balanced,100.812005,100.761968,100.821274,0.008058,44,-4012.591965,423.136262,1705,735
4366,FixedSpread,Balanced,100.804009,100.701275,100.821274,0.008054,52,-4818.687709,423.120773,1685,735
4367,FixedSpread,Balanced,100.812581,100.701275,100.861968,0.008085,49,-4516.101805,423.714659,1685,722
4368,FixedSpread,Balanced,100.796376,100.621626,100.861968,0.008572,49,-4516.101805,422.920599,1677,722
4369,FixedSpread,Balanced,100.796370,100.621626,100.861968,0.008058,49,-4516.101805,422.920303,1677,741
